
                            Radial Profiles
                            ---------------

                          Partial Pressures, kPa
  J  dist,m   temp,K   CO2     H2O     CH4     CO      O2      N2        FV
  1   1.0000  1000.   7.500  15.600   0.000   0.000   0.000  77.000 0.0000E+00
wall             0.

 Total directional radiated energy flux =0.513236E+04 Watts/m-2/strad

 
        Spectral Intensity Distribution, Watts/m-2/micron/strad
        -------------------------------------------------------

  micron    intensity      tau        micron    intensity      tau
   2.210   0.4368E+01    0.9987       16.129   0.6382E+02    0.1576
   2.222   0.4705E+01    0.9986       16.260   0.6670E+02    0.0943
   2.235   0.4873E+01    0.9986       16.393   0.6267E+02    0.1244
   2.247   0.7045E+01    0.9980       16.529   0.5662E+02    0.1858
   2.260   0.7306E+01    0.9979       16.667   0.5252E+02    0.2225
   2.273   0.9408E+01    0.9973       16.807   0.5332E+02    0.1872
   2.286   0.1105E+02    0.9969       16.949   0.4975E+02    0.2187
   2.299   0.1447E+02    0.9959       17.094   0.4658E+02    0.2463
   2.312   0.1655E+02    0.9954       17.241   0.4445E+02    0.2587
   2.326   0.2104E+02    0.9942       17.391   0.4271E+02    0.2656
   2.339   0.2375E+02    0.9935       17.544   0.4159E+02    0.2624
   2.353   0.2891E+02    0.9921       17.699   0.4099E+02    0.2500
   2.367   0.3214E+02    0.9913       17.857   0.3957E+02    0.2529
   2.381   0.5434E+02    0.9853       18.018   0.3876E+02    0.2446
   2.395   0.6835E+02    0.9817       18.182   0.3789E+02    0.2373
   2.410   0.1152E+03    0.9693       18.349   0.3705E+02    0.2298
   2.424   0.1771E+03    0.9530       18.519   0.3606E+02    0.2253
   2.439   0.2998E+03    0.9210       18.692   0.3516E+02    0.2192
   2.454   0.4821E+03    0.8736       18.868   0.3408E+02    0.2174
   2.469   0.7588E+03    0.8021       19.048   0.3319E+02    0.2116
   2.484   0.1079E+04    0.7200       19.231   0.3229E+02    0.2063
   2.500   0.1419E+04    0.6337       19.417   0.3147E+02    0.1991
   2.516   0.1678E+04    0.5689       19.608   0.3063E+02    0.1926
   2.532   0.1873E+04    0.5209       19.802   0.2979E+02    0.1866
   2.548   0.1973E+04    0.4976       20.000   0.2894E+02    0.1811
   2.564   0.1856E+04    0.5293       20.202   0.2811E+02    0.1752
   2.581   0.1907E+04    0.5183       20.408   0.2728E+02    0.1697
   2.597   0.1566E+04    0.6058       20.619   0.2645E+02    0.1647
   2.614   0.1448E+04    0.6370       20.833   0.2561E+02    0.1601
   2.632   0.1186E+04    0.7036       21.053   0.2479E+02    0.1559
   2.649   0.9778E+03    0.7564       21.277   0.2399E+02    0.1510
   2.667   0.3137E+04    0.2206       21.505   0.2320E+02    0.1464
   2.685   0.3241E+04    0.1969       21.739   0.2242E+02    0.1423
   2.703   0.3348E+04    0.1724       21.978   0.2164E+02    0.1384
   2.721   0.3066E+04    0.2440       22.222   0.2088E+02    0.1348
   2.740   0.2666E+04    0.3439       22.472   0.2012E+02    0.1316
   2.759   0.2412E+04    0.4074       22.727   0.1937E+02    0.1285
   2.778   0.2698E+04    0.3383       22.989   0.1864E+02    0.1257
   2.797   0.2723E+04    0.3329       23.256   0.1792E+02    0.1231
   2.817   0.2754E+04    0.3261       23.529   0.1722E+02    0.1206
   2.837   0.2587E+04    0.3676       23.810   0.1653E+02    0.1184
   2.857   0.2297E+04    0.4388       24.096   0.1586E+02    0.1164
   2.878   0.1946E+04    0.5246       24.390   0.1520E+02    0.1145
   2.899   0.1723E+04    0.5793       24.691   0.1456E+02    0.1127
   2.920   0.1494E+04    0.6351       25.000   0.1393E+02    0.1110
   2.941   0.1319E+04    0.6778       25.316   0.1332E+02    0.1099
   2.963   0.1168E+04    0.7143       25.641   0.1272E+02    0.1090
   2.985   0.1043E+04    0.7446       25.974   0.1214E+02    0.1081
   3.008   0.9050E+03    0.7783       26.316   0.1158E+02    0.1072
   3.030   0.8064E+03    0.8021       26.667   0.1103E+02    0.1064
   3.053   0.7052E+03    0.8267       27.027   0.1050E+02    0.1064
   3.077   0.5984E+03    0.8526       27.397   0.9981E+01    0.1064
   3.101   0.4797E+03    0.8816       27.778   0.9482E+01    0.1064
   3.125   0.3863E+03    0.9044       28.169   0.9000E+01    0.1065
   3.150   0.3474E+03    0.9138       28.571   0.8537E+01    0.1065
   3.175   0.2978E+03    0.9258       28.986   0.8083E+01    0.1073
   3.200   0.2429E+03    0.9393       29.412   0.7648E+01    0.1081
   3.226   0.2091E+03    0.9476       29.851   0.7229E+01    0.1089
   3.252   0.1723E+03    0.9566       30.303   0.6828E+01    0.1097
   3.279   0.1516E+03    0.9617       30.769   0.6443E+01    0.1105
   3.306   0.1331E+03    0.9662       31.250   0.6067E+01    0.1122
   3.333   0.1109E+03    0.9717       31.746   0.5708E+01    0.1138
   3.361   0.9894E+02    0.9746       32.258   0.5365E+01    0.1155
   3.390   0.8905E+02    0.9770       32.787   0.5037E+01    0.1172
   3.419   0.7141E+02    0.9814       33.333   0.4724E+01    0.1188
   3.448   0.6099E+02    0.9841       33.898   0.4421E+01    0.1215
   3.478   0.5073E+02    0.9866       34.483   0.4132E+01    0.1241
   3.509   0.4299E+02    0.9886       35.088   0.3857E+01    0.1268
   3.540   0.3699E+02    0.9901       35.714   0.3596E+01    0.1295
   3.571   0.3026E+02    0.9919       36.364   0.3349E+01    0.1322
   3.604   0.2238E+02    0.9939       37.037   0.3108E+01    0.1365
   3.636   0.1534E+02    0.9958       37.736   0.2880E+01    0.1409
   3.670   0.1357E+02    0.9963       38.462   0.2665E+01    0.1455
   3.704   0.1147E+02    0.9968       39.216   0.2462E+01    0.1502
   3.738   0.8130E+01    0.9977       40.000   0.2270E+01    0.1549
   3.774   0.7088E+01    0.9980       40.816   0.2086E+01    0.1614
   3.810   0.5624E+01    0.9984       41.667   0.1912E+01    0.1682
   3.846   0.5375E+01    0.9984       42.553   0.1750E+01    0.1753
   3.883   0.5342E+01    0.9984       43.478   0.1597E+01    0.1827
   3.922   0.5321E+01    0.9984       44.444   0.1454E+01    0.1905
   3.960   0.5116E+01    0.9985       45.455   0.1320E+01    0.1992
   4.000   0.5188E+01    0.9984       46.512   0.1195E+01    0.2085
   4.040   0.5922E+01    0.9982       47.619   0.1078E+01    0.2182
   4.082   0.6952E+01    0.9978       48.780   0.9695E+00    0.2286
   4.124   0.8066E+01    0.9974       50.000   0.8691E+00    0.2396
   4.167   0.9257E+01    0.9970       51.282   0.7768E+00    0.2507
   4.211   0.3048E+04    0.0014       52.632   0.6916E+00    0.2626
   4.255   0.3005E+04    0.0000       54.054   0.6132E+00    0.2753
   4.301   0.2956E+04    0.0000       55.556   0.5413E+00    0.2889
   4.348   0.2907E+04    0.0000       57.143   0.4755E+00    0.3035
   4.396   0.2857E+04    0.0000       58.824   0.4159E+00    0.3184
   4.444   0.2806E+04    0.0004       60.606   0.3617E+00    0.3346
   4.494   0.2620E+04    0.0494       62.500   0.3125E+00    0.3521
   4.545   0.1527E+04    0.4351       64.516   0.2681E+00    0.3713
   4.598   0.5167E+03    0.8051       66.667   0.2281E+00    0.3924
   4.651   0.2288E+03    0.9120       68.966   0.1936E+00    0.4116
   4.706   0.2047E+03    0.9196       71.429   0.1628E+00    0.4328
   4.762   0.2439E+03    0.9021       74.074   0.1355E+00    0.4562
   4.819   0.2840E+03    0.8835       76.923   0.1113E+00    0.4824
   4.878   0.3401E+03    0.8573       80.000   0.8999E-01    0.5121
   4.938   0.3871E+03    0.8337       83.333   0.7340E-01    0.5332
   5.000   0.4153E+03    0.8172       86.957   0.5904E-01    0.5565
   5.063   0.4428E+03    0.8002       90.909   0.4670E-01    0.5825
   5.128   0.4466E+03    0.7933       95.238   0.3616E-01    0.6120
   5.195   0.5573E+03    0.7353      100.000   0.2723E-01    0.6462
   5.263   0.5843E+03    0.7148      105.263   0.2094E-01    0.6672
   5.333   0.6073E+03    0.6953      111.111   0.1574E-01    0.6905
   5.405   0.6842E+03    0.6468      117.647   0.1150E-01    0.7168
   5.479   0.6767E+03    0.6403      125.000   0.8087E-02    0.7472
